step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
0,0.0,,,,,,,,,27.595197677612305,0.625
1,20.95,-0.0,6.666666666666667e-05,0.75,1.214461088180542,0.0,24.1875,0.5299027562141418,0.0,,
2,34.1,-0.0,0.00013333333333333334,0.6875,1.2246951460838318,0.0,32.375,0.435224786400795,0.0,,
3,39.06,-0.0,0.0002,2.59375,0.8613058030605316,0.0,24.0,0.235784649848938,0.13631737604737282,,
4,42.03,0.0,0.0002,2.875,0.3535533845424652,0.5,17.875,0.07776160538196564,0.18640926480293274,,
5,44.76,0.0,0.0002,3.0,0.0,1.0,16.875,0.04155834676930681,0.4317248612642288,27.51801872253418,
6,47.42,0.0,0.0002,3.0,0.0,1.0,16.5,0.001899617607705295,0.41028474271297455,,
7,50.09,0.0,0.0002,3.0,0.0,1.0,16.5,0.0007449213298968971,0.42754167318344116,,
8,53.17,-0.0,0.0002,1.46875,0.5077524185180664,0.5,16.9375,0.11175315827131271,0.9058062434196472,,
9,55.89,0.0,0.0002,3.0,0.0,1.0,17.0,0.04555410519242287,0.7720831632614136,,
10,58.77,0.0,0.0002,2.75,0.6460575759410858,0.0,18.0,1.3498787507414818,1.2023383677005768,27.57912826538086,
11,68.08,-0.0,0.0002,2.6875,0.5383046567440033,0.0,61.0,7.5256593227386475,1.478230893611908,,
12,71.02,0.0,0.0002,2.96875,0.0883883461356163,0.5,19.0,1.8449485022574663,1.49141925573349,,
13,73.81,-0.0,0.0002,2.84375,0.24511480331420898,0.0,17.5,0.5476756989955902,1.1653804183006287,,
14,76.47,0.0,0.0002,3.0,0.0,1.0,16.5,0.000489655663841404,1.1333866715431213,,
15,79.12,0.0,0.0002,3.0,0.0,1.0,16.5,0.0005830771697219461,1.155084252357483,27.617515563964844,
16,81.8,0.0,0.0002,2.0,0.0,1.0,16.5,0.022627659142017365,1.460478961467743,,
17,84.55,0.0,0.0002,2.0,0.0,1.0,17.0,0.001119277032557875,1.7254603505134583,,
18,88.57,0.0,0.0002,1.4375,0.5469068884849548,0.5,28.5,4.135407745838165,2.677930235862732,,
19,91.32,-0.0,0.0002,2.875,0.3535533845424652,0.5,17.0,0.011440550631959923,1.1147106289863586,,
20,94.04,0.0,0.0002,3.0,0.0,1.0,17.0,0.00013676811795448884,1.1027254462242126,27.673389434814453,0.671875
21,96.82,0.0,0.0002,2.5,0.5345224738121033,0.5,17.5,0.2465562294528354,1.454653561115265,,
22,99.54,-0.0,0.0002,2.875,0.3535533845424652,0.5,17.0,0.03905606138869189,1.1714239716529846,,
23,102.23,0.0,0.0002,2.0,0.0,1.0,17.0,0.027235073532210663,1.4264256358146667,,
24,104.98,0.0,0.0002,3.0,0.0,1.0,17.0,0.00029087065922794864,1.1136960983276367,,
25,107.68,0.0,0.0002,3.0,0.0,1.0,17.0,0.16424289082351606,1.4190007448196411,27.7330265045166,
26,110.27,0.0,0.0002,3.0,0.0,1.0,16.0,0.0014649033546447754,1.1824422478675842,,
27,112.96,0.0,0.0002,3.0,0.0,1.0,17.0,0.0011864830739796162,1.1183826327323914,,
28,115.62,0.0,0.0002,2.0,0.0,1.0,16.5,0.0027539378497749567,1.3440017104148865,,
29,118.29,0.0,0.0002,2.5,0.5345224738121033,0.5,16.5,0.08836787939071655,1.5120373368263245,,
30,121.05,0.0,0.0002,2.75,0.4629100561141968,0.5,17.5,0.16527272760868073,1.4521517753601074,27.77054214477539,
31,123.79,0.0,0.0002,2.5,0.5345224738121033,0.5,17.0,0.027368769282475114,1.2261449694633484,,
32,126.5,0.0,0.0002,3.0,0.0,1.0,17.0,0.0004918154518236406,1.1188910007476807,,
33,129.32,0.0,0.0002,1.0,0.0,1.0,18.0,0.37894177436828613,1.8664329051971436,,
