step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
0,0.0,,,,,,,,,27.595197677612305,0.625
1,20.63,-0.0,6.666666666666667e-05,0.75,1.214461088180542,0.0,24.1875,0.5299027562141418,0.0,,
2,33.91,-0.0,0.00013333333333333334,0.6875,1.2246951460838318,0.0,32.375,0.435224786400795,0.0,,
3,38.95,0.0056,0.0002,2.59375,0.8613058030605316,0.0,24.0,0.23596502095460892,0.1401388682425022,,
4,42.1,0.0056,0.0002,2.875,0.3535533845424652,0.5,18.0625,0.07041620090603828,0.13908790796995163,,
5,45.31,0.0177,0.0002,3.0,0.0,1.0,16.875,0.050233386224135756,0.443210631608963,27.484710693359375,
6,48.15,0.0177,0.0002,2.75,0.4629100561141968,0.5,16.5,0.018470918759703636,0.4422721564769745,,
7,50.93,0.0177,0.0002,3.0,0.0,1.0,16.375,0.028292754665017128,0.44148845970630646,,
8,53.77,0.0168,0.0002,3.0,0.0,1.0,16.9375,0.0164123740978539,0.41997213661670685,,
9,63.38,0.0181,0.0002,2.90625,0.1293872892856598,0.5,24.3125,0.05591033597011119,0.4523720145225525,,
10,66.23,0.0172,0.0002,2.875,0.3535533845424652,0.5,16.5625,0.0290105901658535,0.42907337844371796,27.478853225708008,
11,69.07,0.0259,0.0002,2.0,0.0,1.0,17.0,0.0031789891654625535,0.6482281535863876,,
12,72.04,0.0149,0.0002,3.0,0.0,1.0,17.125,0.023553619161248207,0.37206369638442993,,
13,75.05,0.0093,0.0002,3.0,0.0,1.0,17.5625,0.045453181490302086,0.23221305012702942,,
14,77.89,0.0163,0.0002,3.0,0.0,1.0,16.6875,0.06569166108965874,0.40753015875816345,,
15,80.68,0.0263,0.0002,2.0,0.0,1.0,16.5,0.003056052839383483,0.658266231417656,27.51321029663086,
16,83.88,0.0206,0.0002,2.96875,0.0883883461356163,0.5,17.0625,0.04501989856362343,0.5150112509727478,,
17,86.77,0.026,0.0002,2.0,0.0,1.0,17.25,0.05488421814516187,0.6510787606239319,,
18,100.69,0.0422,0.0002,1.5,0.677538774907589,0.0,32.3125,0.2319742515683174,1.0561846494674683,,
19,103.55,0.03,0.0002,2.0,0.0,1.0,17.5,0.04650619439780712,0.7488138973712921,,
20,106.89,0.0261,0.0002,2.59375,1.0553725957870483,0.0,18.125,0.125687837600708,0.6522902548313141,27.565311431884766,0.734375
21,116.39,0.0336,0.0002,2.0625,1.2086920738220215,0.0,24.5625,0.14184844121336937,0.8399558663368225,,
22,119.08,0.0331,0.0002,1.875,0.3535533845424652,0.5,16.4375,0.044406608678400517,0.8284009397029877,,
23,121.85,0.0287,0.0002,2.0,0.0,1.0,17.0,0.0024971120292320848,0.7163538783788681,,
24,124.62,0.018,0.0002,2.75,0.4629100561141968,0.5,17.0,0.02086058774148114,0.4496830701828003,,
25,127.32,0.0214,0.0002,2.5,0.5345224738121033,0.5,16.3125,0.04259903356432915,0.5355320572853088,27.646259307861328,
26,130.53,0.04,0.0002,1.1875,0.6396867483854294,0.0,17.375,0.08094512298703194,1.00101900100708,,
27,133.29,0.0187,0.0002,2.875,0.3535533845424652,0.5,17.0,0.01707584038376808,0.46637995541095734,,
28,136.12,0.0229,0.0002,2.5,0.5345224738121033,0.5,16.875,0.07993447594344616,0.5721549987792969,,
29,138.82,0.0176,0.0002,2.96875,0.0883883461356163,0.5,16.5,0.07248609326779842,0.43975313007831573,,
30,141.58,0.0242,0.0002,2.96875,0.0883883461356163,0.5,16.8125,0.08421044424176216,0.6057837009429932,27.608779907226562,
31,144.38,0.0195,0.0002,2.875,0.3535533845424652,0.5,17.0625,0.10875842347741127,0.4884023517370224,,
32,147.2,0.0193,0.0002,2.625,0.6943650841712952,0.5,17.0625,0.10363717749714851,0.482803538441658,,
33,149.95,0.0173,0.0002,2.0,0.0,1.0,17.0,0.036501871421933174,0.4328121840953827,,
34,152.7,0.0168,0.0002,3.0,0.0,1.0,17.0,0.002293081837706268,0.4201667606830597,,
35,155.48,0.0171,0.0002,3.0,0.0,1.0,17.0,0.023767520498950034,0.4271596223115921,27.65761947631836,
36,158.22,0.0166,0.0002,3.0,0.0,1.0,16.5,0.0014191865921020508,0.4146582633256912,,
37,161.0,0.0165,0.0002,2.75,0.4629100561141968,0.5,17.0,0.048173765069805086,0.4123428910970688,,
38,163.75,0.0165,0.0002,3.0,0.0,1.0,17.0,0.001927544130012393,0.41157568991184235,,
39,166.57,0.0163,0.0002,3.0,0.0,1.0,17.0,0.0009080101444851607,0.4073130339384079,,
40,169.21,0.0163,0.0002,3.0,0.0,1.0,16.0,0.0009290575981140137,0.40710730850696564,27.726909637451172,0.9375
41,171.96,0.0166,0.0002,3.0,0.0,1.0,17.0,0.023093048919690773,0.41441111266613007,,
42,174.74,0.0165,0.0002,3.0,0.0,1.0,17.0,0.0006241518130991608,0.4136729836463928,,
43,177.74,0.0174,0.0002,3.0,0.0,1.0,17.25,0.11301448196172714,0.43491309881210327,,
44,180.5,0.0165,0.0002,3.0,0.0,1.0,17.0,0.0006025538605172187,0.41321420669555664,,
